| Ticker | Country | Exchange | Industry | Market Cap | P/FCF | Shares % | EBIT/Interest | Gross Profit % | EPS | P/B | FCF Margin % | FCF Yield % | Free Cash Flow | Debt/Equity | Debt Ratio | Net Profit % | Revenue Growth % | Net Growth % | P/E | Return on Equity % | Current Ratio |
| CRVL | US | NasdaqGS | Health Care Providers and Services | $3,750.25M | 38.5 | -0.9% | — | 23.8% | $1.96 | 11.1 | 8.8% | 2.6% | $98.34M | 0.1 | 0.0 | 11.0% | 12.5% | 29.2% | 38.3 | 33.3% | 1.8 |
| FAST | US | NasdaqGS | Trading Companies and Distributors | $46,380.64M | 48.7 | -0.0% | 230.9 | 45.1% | $1.07 | 12.1 | 13.8% | 2.1% | $965.10M | 0.1 | 0.1 | 15.3% | 6.9% | 6.2% | 38.3 | 32.7% | 4.3 |
| COCO | US | NasdaqGS | Beverages | $3,041.61M | 92.3 | — | 1,834.1 | 36.1% | $1.13 | 8.1 | 10.0% | 1.1% | $26.19M | 0.0 | 0.0 | 11.5% | 12.0% | 16.5% | 39.7 | 24.4% | 3.5 |
| MNST | US | NasdaqGS | Beverages | $73,266.82M | 35.5 | -1.5% | 9,063.4 | 55.8% | $1.77 | 9.1 | 20.6% | 2.8% | $1,985.08M | 0.0 | 0.0 | 21.7% | 7.6% | 7.6% | 41.0 | 25.5% | 3.2 |
| CAVA | US | NYSE | Hotels, Restaurants and Leisure | $5,670.56M | 222.8 | — | — | 37.6% | $1.19 | 7.4 | -3.2% | 0.4% | $25.38M | 0.6 | 0.3 | 12.1% | 23.9% | 155.7% | 42.0 | 19.8% | 2.7 |
| ANET | US | NYSE | Communications Equipment | $164,563.37M | 36.5 | 0.8% | — | 64.3% | $2.67 | 12.4 | 35.8% | 2.7% | $4,046.00M | 0.6 | 0.0 | 39.7% | 27.8% | 26.0% | 44.7 | 31.7% | 3.3 |
| CW | US | NYSE | Aerospace and Defense | $20,807.99M | 40.3 | -2.3% | 14.4 | 37.3% | $11.92 | 7.5 | 13.6% | 2.5% | $503.38M | 0.4 | 0.2 | 13.7% | 9.9% | 15.0% | 45.4 | 17.5% | 1.9 |
| IDR | US | NYSEAM | Metals and Mining | $618.86M | 197.2 | 9.8% | 101.2 | 63.4% | $0.73 | 6.8 | 1.5% | 0.5% | $2.63M | 0.0 | 0.0 | 29.0% | 61.3% | 64.0% | 45.8 | 18.2% | 8.5 |

| Ticker | Country | Exchange | Industry | Market Cap | P/FCF | Shares % | EBIT/Interest | Gross Profit % | EPS | P/B | FCF Margin % | FCF Yield % | Free Cash Flow | Debt/Equity | Debt Ratio | Net Profit % | Revenue Growth % | Net Growth % | P/E | Return on Equity % | Current Ratio |
|--------|---------|----------|----------|------------|-------|----------|---------------|----------------|-----|-----|--------------|-------------|----------------|-------------|------------|--------------|------------------|--------------|-----|-------------------|---------------|
| BKTI | US | NYSEAM | Communications Equipment | $238.83M | 13.3 | 8.3% | 29.4 | 46.7% | $3.57 | 5.8 | 3.0% | 7.5% | $17.68M | 0.0 | 0.0 | 15.7% | 10.1% | 159.7% | 19.1 | 38.7% | 2.9 |
| EXEL | US | NasdaqGS | Biotechnology | $11,890.68M | 14.3 | -2.8% | — | 96.6% | $2.15 | 5.3 | 22.2% | 7.0% | $754.07M | 0.1 | 0.1 | 27.0% | 10.7% | 72.1% | 19.3 | 29.0% | 3.5 |
| INCY | US | NasdaqGS | Biotechnology | $20,507.87M | 17.7 | -2.2% | 395.0 | 53.2% | $4.50 | 4.0 | 13.7% | 5.6% | $958.08M | 0.0 | 0.0 | 19.0% | 18.9% | 795.1% | 19.9 | 24.3% | 2.8 |
| COIN | US | NasdaqGS | Capital Markets | $73,567.99M | 199.0 | — | 27.0 | 84.8% | $12.57 | 4.0 | 9.4% | 0.5% | $325.85M | 0.5 | 0.2 | 43.7% | 47.4% | 106.1% | 20.9 | 26.0% | 2.4 |
| DORM | US | NasdaqGS | Automobile Components | $4,042.52M | 34.4 | -1.1% | 9.9 | 40.9% | $7.40 | 3.4 | 6.1% | 2.9% | $139.34M | 0.4 | 0.2 | 10.8% | 6.8% | 32.1% | 21.4 | 17.4% | 2.7 |
| PKG | US | NYSE | Containers and Packaging | $18,237.99M | 30.7 | -1.0% | 26.8 | 22.2% | $10.07 | 4.1 | 8.5% | 3.3% | $625.40M | 0.6 | 0.3 | 10.5% | 9.0% | 25.9% | 21.4 | 20.7% | 3.5 |
| CART | US | NasdaqGS | Consumer Staples Distribution and Retail | $11,029.01M | 11.8 | — | — | 74.5% | $1.93 | 3.0 | 17.6% | 8.5% | $880.00M | 0.0 | 0.0 | 14.1% | 10.2% | 15.8% | 21.7 | 15.3% | 3.6 |
| OTCM | US | OTCPK | Capital Markets | $609.55M | 13.9 | 0.6% | — | 57.7% | $2.43 | 11.9 | 32.1% | 7.2% | $45.06M | 0.2 | 0.1 | 26.9% | 7.0% | 7.2% | 22.1 | 58.2% | 1.7 |
| ERIE | US | NasdaqGS | Insurance | $15,451.13M | 25.6 | — | — | 18.0% | $12.39 | 6.4 | 11.4% | 3.9% | $576.99M | 0.0 | 0.0 | 16.0% | 9.5% | 15.9% | 22.8 | 30.4% | 1.7 |
| DAVE | US | NasdaqGM | Consumer Finance | $2,947.40M | 14.3 | — | 17.3 | 71.5% | $11.14 | 12.6 | 15.4% | 7.0% | $191.95M | 0.3 | 0.2 | 29.8% | 53.9% | 255.6% | 23.2 | 30.7% | 8.1 |
| AXP | US | NYSE | Consumer Finance | $251,616.84M | 12.8 | -3.1% | — | 64.1% | $14.92 | 7.5 | 28.9% | 7.8% | $18,938.00M | 1.9 | 0.2 | 16.1% | 10.2% | 6.6% | 23.7 | 33.9% | 1.6 |
| HLNE | US | NasdaqGS | Capital Markets | $5,449.09M | 17.4 | 4.7% | 20.6 | 60.8% | $5.39 | 7.2 | 36.0% | 5.7% | $340.00M | 0.3 | 0.2 | 31.1% | 13.0% | 25.5% | 24.3 | 23.3% | 3.2 |
| RL | US | NYSE | Textiles, Apparel and Luxury Goods | $22,275.13M | 24.5 | -3.7% | 22.2 | 69.0% | $12.81 | 7.5 | 9.4% | 4.1% | $763.80M | 1.3 | 0.4 | 10.9% | 9.6% | 16.4% | 24.7 | 32.6% | 1.8 |
| RMD | US | NYSE | Health Care Equipment and Supplies | $37,342.56M | 20.9 | 0.1% | 2,884.4 | 60.7% | $9.81 | 6.0 | 23.0% | 4.8% | $1,768.38M | 0.1 | 0.1 | 27.4% | 9.4% | 29.2% | 25.8 | 25.4% | 2.9 |
| UFPT | US | NasdaqGM | Health Care Equipment and Supplies | $1,748.33M | 20.8 | 0.6% | 8.5 | 28.5% | $8.72 | 4.3 | 8.1% | 4.8% | $72.54M | 0.4 | 0.2 | 11.2% | 29.5% | 23.8% | 25.9 | 18.3% | 2.6 |
| BOOT | US | NYSE | Specialty Retail | $5,908.34M | 97.4 | 1.1% | 183.2 | 38.1% | $6.81 | 4.5 | 2.4% | 1.0% | $56.00M | 0.6 | 0.3 | 10.1% | 17.8% | 35.7% | 26.4 | 18.7% | 2.3 |
| SCCO | US | NYSE | Metals and Mining | $110,397.69M | 29.1 | 0.0% | 17.0 | 59.6% | $4.67 | 9.7 | 25.2% | 3.4% | $3,480.30M | 0.7 | 0.4 | 31.0% | 12.7% | 26.2% | 26.5 | 39.2% | 4.5 |
| EXLS | US | NasdaqGS | Professional Services | $6,305.19M | 21.9 | -1.2% | 16.6 | 38.2% | $1.49 | 6.6 | 10.6% | 4.6% | $286.88M | 0.5 | 0.3 | 11.9% | 14.4% | 28.5% | 26.7 | 26.0% | 2.9 |
| USLM | US | NasdaqGS | Construction Materials | $3,472.09M | 33.6 | 0.4% | — | 54.8% | $4.57 | 5.8 | 24.3% | 3.0% | $104.18M | 0.0 | 0.0 | 35.8% | 20.3% | 32.2% | 26.9 | 24.3% | 19.0 |
| CPRT | US | NasdaqGS | Commercial Services and Supplies | $37,733.33M | 33.7 | 0.5% | — | 47.2% | $1.61 | 4.5 | 22.7% | 3.0% | $1,230.76M | 0.0 | 0.0 | 33.4% | 9.7% | 13.9% | 26.9 | 18.5% | 8.4 |
| ELMD | US | NYSEAM | Health Care Equipment and Supplies | $223.28M | 24.6 | -0.6% | — | 78.0% | $0.98 | 4.8 | 9.4% | 4.1% | $8.78M | 0.0 | 0.0 | 12.4% | 16.1% | 26.7% | — | — | — |

| Ticker | Country | Exchange | Industry | Market Cap | P/FCF | Shares % | EBIT/Interest | Gross Profit % | EPS | P/B | FCF Margin % | FCF Yield % | Free Cash Flow | Debt/Equity | Debt Ratio | Net Profit % | Revenue Growth % | Net Growth % | P/E | Return on Equity % | Current Ratio |
|--------|---------|----------|----------|------------|-------|----------|---------------|----------------|-----|-----|--------------|-------------|----------------|-------------|------------|--------------|------------------|--------------|-----|-------------------|---------------|
| ELMD | US | NYSEAM | Supplies | $223.28M | 24.6 | -0.6% | — | 78.0% | $0.98 | 4.8 | 9.4% | 4.1% | $8.78M | 0.0 | 0.0 | 12.4% | 16.1% | 26.7% | 27.6 | — | — |
| MWA | US | NYSE | Machinery | $3,789.90M | 23.5 | -0.2% | 11.5 | 34.9% | $0.95 | 4.4 | 7.8% | 4.3% | $172.90M | 0.5 | 0.3 | 10.7% | 10.2% | 21.1% | 27.6 | 17.3% | 3.9 |
| FFIV | US | NasdaqGS | Communications Equipment | $13,892.71M | 19.6 | -1.2% | — | 81.0% | $11.49 | 5.4 | 23.2% | 5.1% | $954.92M | 0.1 | 0.0 | 22.1% | 8.9% | 20.5% | 28.7 | 20.6% | 1.6 |
| FSS | US | NYSE | Machinery | $6,932.18M | 30.8 | 0.1% | 26.5 | 28.9% | $3.88 | 5.1 | 8.2% | 3.3% | $219.70M | 0.2 | 0.1 | 11.5% | 11.8% | 10.9% | 29.1 | 19.1% | 2.6 |
| AWI | US | NYSE | Building Products | $8,183.11M | 39.0 | -2.1% | 8.5 | 40.6% | $6.80 | 10.2 | 11.0% | 2.6% | $218.50M | 0.7 | 0.3 | 19.0% | 15.6% | 22.3% | 29.2 | 39.3% | 1.6 |
| NAGE | US | NasdaqCM | Life Sciences Tools and Services | $542.20M | 26.1 | 5.3% | — | 63.9% | $0.26 | 7.8 | 5.4% | 3.8% | $21.15M | 0.0 | 0.0 | 16.4% | 36.0% | 1,275.7% | 29.3 | 38.9% | 4.1 |
| CSW | US | NYSE | Building Products | $4,536.62M | 27.9 | 2.4% | 686.6 | 43.8% | $8.39 | 3.8 | 16.8% | 3.6% | $150.28M | 0.2 | 0.1 | 15.2% | 12.3% | 26.8% | 29.9 | 15.4% | 2.9 |
| EVR | US | NYSE | Capital Markets | $12,379.70M | 17.1 | -1.0% | — | 94.1% | $12.01 | 7.7 | 23.2% | 5.8% | $742.08M | 0.5 | 0.3 | 14.3% | 23.4% | 57.0% | 29.9 | 25.4% | 1.9 |
| VLTO | US | NYSE | Commercial Services and Supplies | $25,132.66M | 28.2 | — | 11.4 | 59.9% | $3.60 | 10.0 | 17.6% | 3.5% | $943.00M | 1.1 | 0.4 | 16.7% | 5.6% | 12.8% | 29.9 | 41.2% | 2.3 |
| KRYS | US | NasdaqGS | Biotechnology | $6,321.46M | 35.6 | 8.0% | — | 94.3% | $6.89 | 5.2 | -162.3% | 2.8% | $165.59M | 0.0 | 0.0 | 53.3% | 54.5% | 279.8% | 30.5 | 19.7% | 10.1 |
| DXCM | US | NasdaqGS | Health Care Equipment and Supplies | $24,754.33M | 22.5 | 0.3% | 40.9 | 59.0% | $1.84 | 8.8 | 15.0% | 4.5% | $1,061.90M | 0.9 | 0.3 | 16.0% | 14.2% | 5.9% | 34.0 | 30.6% | 1.6 |
| CR | US | NYSE | Machinery | $10,554.63M | 34.8 | -0.2% | 17.4 | 41.7% | $6.13 | 5.5 | 3.7% | 2.9% | $297.30M | 0.0 | 0.0 | 15.8% | 18.6% | 46.0% | 34.9 | 20.9% | 2.9 |
| AGX | US | NYSE | Construction and Engineering | $5,458.33M | 29.8 | -2.5% | — | 18.6% | $8.60 | 10.7 | 12.3% | 3.4% | $140.30M | 0.0 | 0.0 | 12.7% | 29.2% | 169.1% | 36.5 | 33.4% | 1.7 |
| CRVL | US | NasdaqGS | Health Care Providers and Services | $3,750.25M | 38.5 | -0.9% | — | 23.8% | $1.96 | 11.1 | 8.8% | 2.6% | $98.34M | 0.1 | 0.0 | 11.0% | 12.5% | 29.2% | 38.3 | 33.3% | 1.8 |
| FAST | US | NasdaqGS | Trading Companies and Distributors | $46,380.64M | 48.7 | -0.0% | 230.9 | 45.1% | $1.07 | 12.1 | 13.8% | 2.1% | $965.10M | 0.1 | 0.1 | 15.3% | 6.9% | 6.2% | 38.3 | 32.7% | 4.3 |
| COCO | US | NasdaqGS | Beverages | $3,041.61M | 92.3 | — | 1,834.1 | 36.1% | $1.13 | 8.1 | 10.0% | 1.1% | $26.19M | 0.0 | 0.0 | 11.5% | 12.0% | 16.5% | 39.7 | 24.4% | 3.5 |
| MNST | US | NasdaqGS | Beverages | $73,266.82M | 35.5 | -1.5% | 9,063.4 | 55.8% | $1.77 | 9.1 | 20.6% | 2.8% | $1,985.08M | 0.0 | 0.0 | 21.7% | 7.6% | 7.6% | 41.0 | 25.5% | 3.2 |
| CAVA | US | NYSE | Hotels, Restaurants and Leisure | $5,670.56M | 222.8 | — | — | 37.6% | $1.19 | 7.4 | -3.2% | 0.4% | $25.38M | 0.6 | 0.3 | 12.1% | 23.9% | 155.7% | 42.0 | 19.8% | 2.7 |
| ANET | US | NYSE | Communications Equipment | $164,563.37M | 36.5 | 0.8% | — | 64.3% | $2.67 | 12.4 | 35.8% | 2.7% | $4,046.00M | 0.6 | 0.0 | 39.7% | 27.8% | 26.0% | 44.7 | 31.7% | 3.3 |
| CW | US | NYSE | Aerospace and Defense | $20,807.99M | 40.3 | -2.3% | 14.4 | 37.3% | $11.92 | 7.5 | 13.6% | 2.5% | $503.38M | 0.4 | 0.2 | 13.7% | 9.9% | 15.0% | 45.4 | 17.5% | 1.9 |
| IDR | US | NYSEAM | Metals and Mining | $618.86M | 197.2 | 9.8% | 101.2 | 63.4% | $0.73 | 6.8 | 1.5% | 0.5% | $2.63M | 0.0 | 0.0 | 29.0% | 61.3% | 64.0% | 45.8 | 18.2% | 8.5 |
